Brend,Cena,Godiste,Gorivo,Karoserija,Kilometraza,Kubikaza,Model,Snaga
ALFA ROMEO,2150,2007,Dizel ,Hecbek ,215000,1910,147,120
ALFA ROMEO,2850,2006,Dizel ,Hecbek ,222000,1910,147,150
ALFA ROMEO,1850,2004,Dizel ,Limuzina ,178000,1910,147,116
ALFA ROMEO,1700,2004,Dizel ,Hecbek ,156906,1910,147,116
ALFA ROMEO,1700,2002,Dizel ,Hecbek ,272000,1900,147,116
ALFA ROMEO,2000,2005,Dizel ,Kupe ,189500,1910,147,150
ALFA ROMEO,4000,2007,Dizel ,Hecbek ,168683,1900,147,150
ALFA ROMEO,2400,2007,Dizel ,Hecbek ,188546,1910,147,120
ALFA ROMEO,2590,2007,Dizel ,Hecbek ,199000,1900,147,150
ALFA ROMEO,2990,2009,Dizel ,Hecbek ,157332,1910,147,116
ALFA ROMEO,2999,2009,Dizel ,Hecbek ,153770,1900,147,120
ALFA ROMEO,1599,2002,Dizel ,Hecbek ,250000,1900,147,116
ALFA ROMEO,2000,2001,Benzin + Gas (TNG) ,Hecbek ,155000,1599,147,120
ALFA ROMEO,1200,2000,Benzin + Gas (TNG) ,Hecbek ,277000,1600,147,120
ALFA ROMEO,2490,2008,Dizel ,Hecbek ,170000,1910,147,120
ALFA ROMEO,1690,2004,Dizel ,Hecbek ,166000,1900,147,116
ALFA ROMEO,2350,2008,Dizel ,Hecbek ,242577,1896,147,120
ALFA ROMEO,1550,2004,Dizel ,Hecbek ,152242,1910,147,116
ALFA ROMEO,2650,2009,Dizel ,Hecbek ,190150,1910,147,120
ALFA ROMEO,1400,2002,Dizel ,Hecbek ,247000,1910,147,120
ALFA ROMEO,1690,2004,Dizel ,Hecbek ,177577,1910,147,140
ALFA ROMEO,1899,2006,Dizel ,Hecbek ,260000,1910,147,139
ALFA ROMEO,1950,2006,Dizel ,Limuzina ,156462,1910,147,120
ALFA ROMEO,2650,2006,Benzin ,Hecbek ,153749,1598,147,105
ALFA ROMEO,3000,2003,Dizel ,Hecbek ,195000,1900,147,185
ALFA ROMEO,2090,2003,Dizel ,Hecbek ,277000,1900,147,140
ALFA ROMEO,550,2001,Benzin + Gas (TNG) ,Hecbek ,250000,1970,147,150
ALFA ROMEO,899,2003,Benzin + Gas (TNG) ,Hecbek ,260000,1600,147,120
ALFA ROMEO,1750,2006,Dizel ,Hecbek ,197000,1900,147,120
ALFA ROMEO,2700,2006,Dizel ,Hecbek ,229957,1900,147,120
ALFA ROMEO,999,2001,Benzin ,Hecbek ,200000,1596,147,120
ALFA ROMEO,1200,2003,Dizel ,Hecbek ,259865,1900,147,116
ALFA ROMEO,1700,2001,Benzin ,Hecbek ,220000,2000,147,150
ALFA ROMEO,2500,2005,Dizel ,Hecbek ,340000,1900,147,117
ALFA ROMEO,1750,2008,Benzin ,Hecbek ,184600,1600,147,105
ALFA ROMEO,2200,2003,Dizel ,Hecbek ,240000,1900,147,117
ALFA ROMEO,800,2002,Benzin + Gas (TNG) ,Hecbek ,200000,1600,147,120
ALFA ROMEO,2450,2007,Benzin ,Kupe ,250000,1600,147,105
ALFA ROMEO,1200,2003,Dizel ,Hecbek ,340002,1910,147,116
ALFA ROMEO,1700,2003,Dizel ,Hecbek ,217000,1900,147,116
ALFA ROMEO,1150,2001,Benzin ,Hecbek ,366523,1598,147,120
ALFA ROMEO,1150,2003,Benzin ,Hecbek ,250000,1600,147,120
ALFA ROMEO,2150,2006,Dizel ,Hecbek ,320000,1910,147,116
ALFA ROMEO,1000,2003,Dizel ,Hecbek ,280000,1900,147,117
ALFA ROMEO,850,2001,Benzin ,Hecbek ,190000,1600,147,120
ALFA ROMEO,2800,2006,Dizel ,Hecbek ,207497,1896,147,116
ALFA ROMEO,2750,2007,Dizel ,Hecbek ,184000,1900,147,150
ALFA ROMEO,1500,2002,Benzin + Gas (TNG) ,Hecbek ,210000,1600,147,105
ALFA ROMEO,2500,2006,Dizel ,Hecbek ,204000,1900,147,120
ALFA ROMEO,2900,2007,Dizel ,Hecbek ,234300,2000,147,120
ALFA ROMEO,700,2001,Benzin ,Hecbek ,240000,1600,147,105
ALFA ROMEO,4000,2008,Dizel ,Hecbek ,185000,1900,147,150
