user_id,carId
0,YPSILON_2000
0,LAGUNA_2001
0,206_2000
1,C5_2002
1,TWINGO_2002
1,206_2000
1,MEGANE_2002
2,156_2001
2,XSARA_2001
2,PUNTO_2002
2,GOLF 4_2002
2,YPSILON_2002
3,XSARA_2002
3,MEGANE_2001
3,POLO_2001
4,FIESTA_2000
4,156_2001
4,YPSILON_2002
5,TWINGO_2000
5,ASTRA G_2001
5,FIESTA_2000
5,YARIS_2001
6,WAGON R+_2000
6,TWINGO_2002
6,206_2000
6,PUNTO_2002
6,206_2001
6,FOCUS_2002
7,PUNTO_2002
7,156_2002
7,ASTRA G_2000
7,LAGUNA_2001
7,WAGON R+_2002
7,XSARA_2001
8,147_2002
8,MEGANE_2001
8,FIESTA_2001
8,FIESTA_2000
8,CORSA C_2002
9,QASHQAI + 2_2001
9,YPSILON_2002
9,TWINGO_2002
9,PUNTO_2001
9,YPSILON_2000
9,CLIO_2001
10,MEGANE_2002
10,156_2001
10,FIESTA_2002
10,6_2002
10,TWINGO_2002
10,YPSILON_2002
11,QASHQAI + 2_2001
11,POLO_2001
11,CORSA C_2002
12,CLIO_2002
12,IBIZA_2001
12,MEGANE_2002
12,CLIO_2001
12,CORSA C_2002
13,TWINGO_2001
13,FIESTA_2001
13,307_2001
13,C5_2001
13,GOLF 4_2002
13,WAGON R+_2002
14,206_2000
14,206_2001
14,XSARA_2002
14,206_2002
14,156_2002
14,FOCUS_2001
15,ASTRA G_2002
15,CLIO_2002
15,GOLF 4_2002
15,MONDEO_2001
15,GOLF 4_2001
16,CORSA C_2002
16,CORSA C_2001
16,C3_2002
16,MONDEO_2002
16,FOCUS_2002
16,PASSAT B5.5_2001
17,ASTRA G_2002
17,307_2002
17,LAGUNA_2001
18,CORSA C_2002
18,ASTRA G_2000
18,ASTRA F_2002
18,MONDEO_2001
19,MEGANE_2002
19,CORSA C_2001
19,ZAFIRA_2001
19,PASSAT B5.5_2001
20,FOCUS_2002
20,POLO_2002
20,ASTRA G_2002
20,C 200_2001
20,CORSA C_2001
20,GOLF 4_2000
21,AVENSIS_2002
21,CORSA C_2001
21,C 200_2001
21,FOCUS_2002
22,FIESTA_2002
22,AVENSIS_2002
22,307_2002
23,C3_2002
23,FOCUS_2001
23,147_2001
24,VECTRA C_2002
24,PRIUS +_2002
